2	USA	United States of America	01:01:1816	01:11:2008
20	CAN	Canada	01:07:1867	01:11:2008
31	BHM	Bahamas	10:07:1973	01:11:2008
40	CUB	Cuba	20:05:1902	01:11:2008
41	HAI	Haiti	01:01:1816	04:07:1915
41	HAI	Haiti	15:08:1934	01:11:2008
42	DOM	Dominican Republic	27:02:1844	01:11:2008
51	JAM	Jamaica	06:08:1962	01:11:2008
52	TRI	Trinidad and Tobago	31:08:1962	01:11:2008
53	BAR	Barbados	30:11:1966	01:11:2008
70	MEX	Mexico	01:07:1821	01:11:2008
80	BLZ	Belize	21:09:1981	01:11:2008
89	UPC	United Provinces of Central America	01:07:1823	31:12:1839
90	GUA	Guatemala	01:01:1840	01:11:2008
91	HON	Honduras	01:01:1840	01:11:2008
92	SAL	El Salvador	01:01:1840	01:11:2008
93	NIC	Nicaragua	01:01:1840	01:11:2008
94	COS	Costa Rica	01:01:1840	01:11:2008
95	PAN	Panama	03:11:1903	01:11:2008
99	GCL	Great Colombia	30:08:1821	22:09:1830
100	COL	Colombia	23:09:1830	01:11:2008
101	VEN	Venezuela	01:01:1829	01:11:2008
110	GUY	Guyana	26:05:1966	01:11:2008
115	SUR	Surinam	25:11:1975	01:11:2008
130	ECU	Ecuador	13:05:1830	01:11:2008
135	PER	Peru	09:12:1824	01:11:2008
140	BRA	Brazil	07:09:1822	01:11:2008
145	BOL	Bolivia	06:08:1825	01:11:2008
150	PAR	Paraguay	01:01:1816	01:11:2008
155	CHL	Chile	01:04:1818	01:11:2008
160	ARG	Argentina	09:07:1816	01:11:2008
165	URU	Uruguay	26:05:1830	01:11:2008
200	UKG	United Kingdom	01:01:1816	01:11:2008
205	IRE	Ireland	06:12:1921	01:11:2008
210	NTH	Netherlands	01:01:1816	01:11:2008
211	BEL	Belgium	04:10:1830	01:11:2008
212	LUX	Luxembourg	11:05:1867	01:11:2008
220	FRN	France	01:01:1816	01:11:2008
225	SWZ	Switzerland	01:01:1816	01:11:2008
230	SPN	Spain	01:01:1816	01:11:2008
235	POR	Portugal	01:01:1816	01:11:2008
240	HAN	Hanover	01:01:1816	17:01:1871
245	BAV	Bavaria	01:01:1816	17:01:1871
255	GMY	Germany (Prussia)	01:01:1816	07:05:1945
260	GFR	German Federal Republic	21:09:1949	01:11:2008
265	GDR	German Democratic Republic	05:10:1949	02:10:1990
267	BAD	Baden	01:01:1816	17:01:1871
269	SAX	Saxony	01:01:1816	17:01:1871
271	WRT	Württemberg	01:01:1816	17:01:1871
273	HSE	Hesse-Kassel (Electoral)	01:01:1816	17:01:1871
275	HSD	Hesse-Darmstadt (Ducal)	01:01:1816	17:01:1871
280	MEC	Mecklenburg-Schwerin	01:01:1816	17:01:1871
290	POL	Poland	11:11:1918	01:11:2008
300	AUH	Austria-Hungary	01:01:1816	13:11:1918
