54	DMA	Dominica	03:11:1978	01:11:2008
55	GRN	Grenada	07:02:1974	01:11:2008
56	SLU	Saint Lucia	22:02:1979	01:11:2008
57	SVG	Saint Vincent and the Grenadines	27:10:1979	01:11:2008
58	AAB	Antigua & Barbuda	01:11:1981	01:11:2008
60	SKN	Saint Kitts and Nevis	19:09:1983	01:11:2008
221	MNC	Monaco	01:01:1816	01:11:2008
223	LIE	Liechtenstein	01:01:1816	01:11:2008
331	SNM	San Marino	01:01:1816	01:11:2008
232	AND	Andorra	01:01:1816	01:11:2008
396	ABK	Abkhazia	26:08:2008	01:11:2008
397	SOT	South Ossetia	26:08:2008	01:11:2008
403	STP	São Tomé and Principe	12:07:1975	01:11:2008
591	SEY	Seychelles	29:06:1976	01:11:2008
935	VAN	Vanuatu	30:06:1980	01:11:2008
970	KBI	Kiribati	12:07:1979	01:11:2008
971	NAU	Nauru	31:12:1968	01:11:2008
972	TON	Tonga	04:06:1970	01:11:2008
973	TUV	Tuvalu	01:10:1978	01:11:2008
983	MSI	Marshall Islands	21:10:1986	01:11:2008
986	PAL	Palau	01:10:1994	01:11:2008
987	FSM	Federated States of Micronesia	03:11:1986	01:11:2008
990	WSM	Samoa/Western Samoa	01:01:1962	01:11:2008
